# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
有线广播	you xian guang bo	76
有线电视	you xian dian shi	1294
有线电视台	you xian dian shi tai	144
有缘	you yuan	4905
有缘千里来相会	you yuan qian li lai xiang hui	251
有胆有识	you dan you shi	1
有脸	you lian	675
有自己	you zi ji	4593
有自己的	you zi ji de	727
有色人种	you se ren zhong	171
有色眼镜	you se yan jing	12
有色金属	you se jin shu	119
有若	you ruo	61
有血有肉	you xue you rou	132
有言在先	you yan zai xian	7
有识	you shi	47
有识之士	you shi zhi shi	33
有说有笑	you shuo you xiao	65
有请	you qing	32
有谱儿	you pu er	5
有责	you ze	340
有赖	you lai	36
有赖于	you lai yu	30
有趣	you qu	8666
有趣的	you qu de	3609
有车	you che	1852
有轨电车	you gui dian che	2074
有辙	you zhe	1
有过之而无不及	you guo zhi er wu bu ji	63
有这个	you zhe ge	4885
有这么	you zhe me	9088
有这样	you zhe yang	3134
有这样的	you zhe yang de	680
有这种	you zhe zhong	3576
有道理	you dao li	12953
有那么	you na me	10785
有那么多	you na me duo	1638
有鉴于此	you jian yu ci	77
有钱	you qian	33078
有钱了	you qian le	2184
有钱人	you qian ren	5588
有钱的	you qian de	2434
有钱能使鬼推磨	you qian neng shi gui tui mo	62
有门儿	you men er	2
有问必答	you wen bi da	67
有问题	you wen ti	9469
有闲	you xian	308
有闻必录	you wen bi lu	12
有限	you xian	5403
有限元	you xian yuan	56
有限公司	you xian gong si	13761
有限责任公司	you xian ze ren gong si	1253
有隙可乘	you xi ke cheng	15
有零	you ling	31
有顷	you qing	22
有鬼	you gui	730
朋	peng	2011
朋克	peng ke	601
朋党	peng dang	75
朋友	peng you	119428
朋友了	peng you le	2714
朋友们	peng you men	2798
朋友吧	peng you ba	2095
朋友圈	peng you quan	10129
朋友的	peng you de	4995
朋友说	peng you shuo	2770
朋哥	peng ge	242
朋比为奸	peng bi wei jian	5
朋辈	peng bei	22
服	fu	22233
服丧	fu sang	217
服了	fu le	3752
服人	fu ren	59
服从	fu cong	1203
服众	fu zhong	47
服侍	fu shi	411
服刑	fu xing	565
服务	fu wu	35585
服务业	fu wu ye	465
服务中心	fu wu zhong xin	1195
服务台	fu wu tai	113
服务员	fu wu yuan	2208
服务器	fu wu qi	1941
服务器端	fu wu qi duan	53
服务提供者	fu wu ti gong zhe	82
服务端	fu wu duan	57
服务质量	fu wu zhi liang	73
服员	fu yuan	3
服器	fu qi	737
服帖	fu tie	158
服式	fu shi	8
服役	fu yi	4942
服毒	fu du	100
服气	fu qi	3203
服用	fu yong	878
服罪	fu zui	25
服老	fu lao	154
服膺	fu ying	42
服色	fu se	18
服药	fu yao	196
服装	fu zhuang	5280
服装厂	fu zhuang chang	53
服装师	fu zhuang shi	34
服软	fu ruan	68
服输	fu shu	410
服阕	fu que	308
服饰	fu shi	1423
朏	fei	50
朐	qu	62
朓	tiao	21
朔	shuo	1337
朔州	shuo zhou	222
朔州市	shuo zhou shi	183
朔方	shuo fang	136
朔日	shuo ri	306
朔望	shuo wang	53
朔风	shuo feng	10
朕	zhen	3852
朗	lang	13261
朗什	lang shi	91
朗切	lang qie	297
朗声	lang sheng	45
朗姆酒	lang mu jiu	93
朗德	lang de	857
朗德省	lang de sheng	1324
朗普	lang pu	160
朗朗	lang lang	107
朗朗上口	lang lang shang kou	136
朗朗乾坤	lang lang qian kun	55
朗松	lang song	229
朗格	lang ge	260
朗格勒	lang ge le	299
朗照	lang zhao	3
朗玛	lang ma	7
朗玛峰	lang ma feng	240
朗诵	lang song	502
朗读	lang du	617
朗谢	lang xie	4
朗谢讷	lang xie ne	463
朗贡	lang gong	301
望	wang	8187
望京	wang jing	297
望其项背	wang qi xiang bei	33
望城	wang cheng	72
望奎	wang kui	85
望子成龙	wang zi cheng long	17
望尘莫及	wang chen mo ji	167
望山	wang shan	77
望文生义	wang wen sheng yi	15
望族	wang zu	287
望日	wang ri	22
望月	wang yue	366
望梅止渴	wang mei zhi ke	180
望江	wang jiang	193
望洋	wang yang	139
望洋兴叹	wang yang xing tan	12
望眼欲穿	wang yan yu chuan	141
望着	wang zhe	650
望穿秋水	wang chuan qiu shui	89
望而却步	wang er que bu	97
望而生畏	wang er sheng wei	23
望见	wang jian	112
望远镜	wang yuan jing	2423
望都	wang du	66
望闻问切	wang wen wen qie	2
望风	wang feng	66
望风披靡	wang feng pi mi	1
望风捕影	wang feng bu ying	5
望风而逃	wang feng er tao	11
朝	chao	16675
朝	zhao	563
朝三暮四	zhao san mu si	76
朝不保夕	zhao bu bao xi	16
朝中	chao zhong	196
朝九	zhao jiu	377
朝仓	chao cang	262
朝代	chao dai	300
朝令夕改	zhao ling xi gai	15
朝发夕至	zhao fa xi zhi	12
朝向	chao xiang	726
朝圣	chao sheng	838
朝夕	zhao xi	150
朝夕相处	zhao xi xiang chu	92
朝天宫	chao tian gong	147
朝天门	chao tian men	127
朝廷	chao ting	3600
朝思暮想	zhao si mu xiang	70
朝拜	chao bai	186
朝政	chao zheng	337
朝散	chao san	92
朝日	zhao ri	3697
朝晖	zhao hui	87
朝暮	chao mu	2
朝暮	zhao mu	21
朝朝暮暮	zhao zhao mu mu	51
朝歌	zhao ge	112
朝比奈	chao bi nai	98
朝气	zhao qi	282
朝气蓬勃	zhao qi peng bo	145
朝秦暮楚	zhao qin mu chu	7
朝花	zhao hua	147
朝花夕	zhao hua xi	11
朝花夕拾	zhao hua xi shi	514
朝贡	chao gong	246
朝野	chao ye	271
朝阳	chao yang	283
朝阳	zhao yang	2268
朝阳市	zhao yang shi	137
朝阳花	chao yang hua	1
朝阳花	zhao yang hua	1
朝阳路	chao yang lu	154
朝阳门	chao yang men	122
朝霞	zhao xia	155
朝鲜	chao xian	14330
朝鲜族	chao xian zu	576
期	ji	1434
期	qi	28676
期中	qi zhong	766
期冀	qi ji	7
期刊	qi kan	2743
期年	ji nian	17
期年	qi nian	2
期待	qi dai	71265
期待你	qi dai ni	4385
期待你的	qi dai ni de	262
期待期待	qi dai qi dai	2482
期房	qi fang	18
期望	qi wang	3218
期望值	qi wang zhi	182
期期艾艾	qi qi ai ai	3
期末	qi mo	4507
期权	qi quan	107
期满	qi man	451
期生	qi sheng	955
期盼	qi pan	1227
期票	qi piao	15
期终	qi zhong	16
期考	qi kao	66
期许	qi xu	291
期货	qi huo	609
期间	qi jian	47724
期限	qi xian	1083
朦	meng	315
朦胧	meng long	1534
木	mu	33643
木下	mu xia	392
木乃伊	mu nai yi	471
木事	mu shi	1162
木作	mu zuo	60
木偶	mu ou	407
木偶戏	mu ou xi	41
木儿	mu er	144
木兰	mu lan	945
木制	mu zhi	828
木刻	mu ke	221
木化石	mu hua shi	7
木匠	mu jiang	376
木卫	mu wei	214
木叶	mu ye	370
木呆呆	mu dai dai	3
木器	mu qi	64
木坂	mu ban	36
木头	mu tou	1541
木头人	mu tou ren	120
木头木脑	mu tou mu nao	3
木姜	mu jiang	8
木姜子	mu jiang zi	322
木屋	mu wu	666
木屐	mu ji	107
木屑	mu xie	110
木工	mu gong	262
木已成舟	mu yi cheng zhou	31
木排	mu pai	11
木料	mu liao	109
木星	mu xing	792
木更津	mu geng jin	72
木有	mu you	44824
木本	mu ben	195
木材	mu cai	1265
木村	mu cun	868
木村拓哉	mu cun tuo zai	81
木板	mu ban	738
木林	mu lin	57
木柴	mu chai	53
木栓	mu shuan	27
木桥	mu qiao	157
木桩	mu zhuang	143
木桶	mu tong	260
木梳	mu shu	31
木棉	mu mian	209
木棍	mu gun	148
木棒	mu bang	70
木槿	mu jin	141
木模	mu mo	1
木模	mu mu	9
木樨	mu xi	27
木沼	mu zhao	15
木沼悟	mu zhao wu	1
木沼悟志	mu zhao wu zhi	201
木浦	mu pu	72
木炭	mu tan	143
木然	mu ran	12
木片	mu pian	37
木版	mu ban	37
木琴	mu qin	61
木瓜	mu gua	1262
木瓜牛奶	mu gua niu nai	55
木立	mu li	4
木筏	mu fa	41
木简	mu jian	20
木糖醇	mu tang chun	6
木耳	mu er	484
木船	mu chuan	66
木莲	mu lian	80
木薯	mu shu	91
木讷	mu ne	117
木质	mu zhi	611
木通	mu tong	53
木造	mu zao	574
木里	mu li	212
木锨	mu xian	14
木雕	mu diao	415
木马	mu ma	760
木鱼	mu yu	121
未	wei	34094
未了	wei liao	66
未亡人	wei wang ren	85
未便	wei bian	6
未免	wei mian	438
未决	wei jue	67
未卜	wei bu	77
未卜先知	wei bu xian zhi	46
未受	wei shou	305
未可	wei ke	51
未可厚非	wei ke hou fei	5
未央	wei yang	451
未始	wei shi	5
未婚	wei hun	1096
未婚夫	wei hun fu	410
未婚妻	wei hun qi	619
未定	wei ding	670
未定义	wei ding yi	86
未尝	wei chang	298
未必	wei bi	2554
未成年	wei cheng nian	1573
未成年人	wei cheng nian ren	506
未时	wei shi	16
未曾	wei ceng	1218
未有	wei you	3193
未来	wei lai	28737
未来世界	wei lai shi jie	116
未来的	wei lai de	5398
未果	wei guo	592
未满	wei man	646
未然	wei ran	28
未眠	wei mian	250
未知	wei zhi	13122
未知数	wei zhi shu	235
未科	wei ke	2976
未竟	wei jing	34
未经	wei jing	2117
未老先衰	wei lao xian shuai	83
未能	wei neng	7645
未获	wei huo	702
未见	wei jian	615
未解	wei jie	249
未设	wei she	289
未详	wei xiang	82
未遂	wei sui	518
未雨绸缪	wei yu chou mou	159
末	me	407
末	mo	8134
末世	mo shi	206
末了	mo liao	76
末代	mo dai	538
末伏	mo fu	3
末儿	mo er	6
末叶	mo ye	20
末后	mo hou	32
末子	mo zi	26
末尾	mo wei	479
末帝	mo di	131
末年	mo nian	1594
末座	mo zuo	19
末日	mo ri	3591
末期	mo qi	2679
末梢	mo shao	45
末民	mo min	30
末民初	mo min chu	1
末沙	mo sha	207
末流	mo liu	25
末清	mo qing	259
末清初	mo qing chu	239
末班车	mo ban che	470
末站	mo zhan	7
末端	mo duan	1304
末至	mo zhi	330
末节	mo jie	34
末路	mo lu	86
本	ben	89382
本业	ben ye	72
本主儿	ben zhu er	2
本义	ben yi	103
本书	ben shu	9302
本事	ben shi	6991
本人	ben ren	14496
本仙	ben xian	357
本位	ben wei	162
本位主义	ben wei zhu yi	21
本体	ben ti	1056
本作	ben zuo	7766
本册	ben ce	1
本分	ben fen	379
本列	ben lie	990
本列表	ben lie biao	991
本利	ben li	3
本剧	ben ju	3029
本县	ben xian	300
本名	ben ming	3641
本命	ben ming	1550
本命年	ben ming nian	2690
本国	ben guo	768
本土	ben tu	10700
本地	ben di	7597
本埠	ben bu	5
本子	ben zi	1698
本字	ben zi	8
本季	ben ji	1362
本宫	ben gong	881
本家	ben jia	288
本尊	ben zun	844
本就	ben jiu	86
本届	ben jie	3997
本属	ben shu	1166
本岛	ben dao	466
本市	ben shi	231
本年	ben nian	43
本当	ben dang	66
本彩	ben cai	285
本影	ben ying	1435
本心	ben xin	225
本性	ben xing	1432
本息	ben xi	11
本意	ben yi	662
本愿	ben yuan	197
本文	ben wen	317
本族	ben zu	97
本日	ben ri	167
本旨	ben zhi	8
本是同根生	ben shi tong gen sheng	145
本月	ben yue	505
本末	ben mo	70
本末倒置	ben mo dao zhi	25
本本主义	ben ben zhu yi	8
本来	ben lai	50700
本来就	ben lai jiu	13724
本来就是	ben lai jiu shi	7059
本来想	ben lai xiang	4356
本来是	ben lai shi	3012
本杰明	ben jie ming	429
本校	ben xiao	713
本案	ben an	784
本源	ben yuan	95
本溪	ben xi	581
本溪县	ben xi xian	73
本溪市	ben xi shi	127
本片	ben pian	3880
本田	ben tian	949
本町	ben ding	517
本番	ben fan	212
本相	ben xiang	14
本省	ben sheng	506
本着	ben zhe	197
本票	ben piao	38
本科	ben ke	7532
本科生	ben ke sheng	784
本站	ben zhan	7553
本章	ben zhang	84
本笃	ben du	423
本篇	ben pian	461
本籍	ben ji	32
本纪	ben ji	478
本线	ben xian	6805
本职	ben zhi	164
本能	ben neng	1115
本舰	ben jian	1599
本色	ben se	811
本色	ben shai	101
本行	ben hang	65
本该	ben gai	296
本质	ben zhi	3369
本贯	ben guan	236
本身	ben shen	11237
本轮	ben lun	378
本部	ben bu	2814
本金	ben jin	78
本钱	ben qian	1066
本雅明	ben ya ming	85
本集	ben ji	945
本领	ben ling	471
本题	ben ti	11
札	zha	2586
札幌	zha huang	921
札幌市	zha huang shi	370
札幌站	zha huang zhan	202
札沼	zha zhao	31
札沼线	zha zhao xian	301
札萨	zha sa	17
札萨克	zha sa ke	407
札记	zha ji	94
术	shu	4079
术	zhu	204
术业有专攻	shu ye you zhuan gong	113
术后	shu hou	328
术士	shu shi	193
术师	shu shi	137
术语	shu yu	2408
朱	zhu	19411
朱丽	zhu li	101
朱伟	zhu wei	67
朱元璋	zhu yuan zhang	479
朱光	zhu guang	54
朱全忠	zhu quan zhong	289
朱军	zhu jun	83
朱凯	zhu kai	154
朱利	zhu li	228
朱利安	zhu li an	558
朱利安尼	zhu li an ni	58
朱友	zhu you	201
朱可夫	zhu ke fu	144
朱同	zhu tong	174
朱培德	zhu pei de	99
朱塞	zhu sai	10
朱塞佩	zhu sai pei	281
朱夏	zhu xia	74
朱子	zhu zi	297
朱安	zhu an	279
朱德	zhu de	715
朱批	zhu pi	42
朱提	zhu ti	51
朱敏	zhu min	59
朱文	zhu wen	163
朱棣	zhu di	115
朱正	zhu zheng	32
朱正廷	zhu zheng ting	545
朱氏	zhu shi	355
朱海	zhu hai	101
朱温	zhu wen	179
朱漆	zhu qi	18
朱熹	zhu xi	137
朱瑞	zhu rui	69
朱砂	zhu sha	58
朱祁镇	zhu qi zhen	58
朱笔	zhu bi	14
朱红	zhu hong	67
朱绍良	zhu shao liang	79
朱自清	zhu zi qing	65
朱茵	zhu yin	82
朱荣	zhu rong	206
朱莉	zhu li	296
朱观	zhu guan	64
朱谋	zhu mou	182
朱迪	zhu di	372
朱里	zhu li	329
朱钟	zhu zhong	85
朱镕基	zhu rong ji	104
朱门	zhu men	29
朱雀	zhu que	334
朱鹮	zhu huan	16
朳	ba	3
朴	piao	255
朴	po	255
朴	pu	5110
朴丽	piao li	221
朴丽鱼	piao li yu	221
朴厚	pu hou	2
朴子	piao zi	334
朴实	pu shi	640
朴实无华	pu shi wu hua	65
朴树	po shu	489
朴正	piao zheng	70
朴正熙	piao zheng xi	212
朴素	pu su	671
朴质	pu zhi	8
朵	duo	4976
朵小	duo xiao	117
朵开	duo kai	201
朵拉	duo la	210
朵花	duo hua	514
朸	li	3
机	ji	36278
机不可失	ji bu ke shi	90
机井	ji jing	4
机件	ji jian	95
机会	ji hui	53013
机会主义	ji hui zhu yi	93
机会了	ji hui le	2330
机会去	ji hui qu	2239
机会的	ji hui de	3450
机位	ji wei	321
机体	ji ti	1242
机修	ji xiu	30
机关	ji guan	9173
机关刊物	ji guan kan wu	90
机关报	ji guan bao	362
机关枪	ji guan qiang	331
机关炮	ji guan pao	184
机关算尽	ji guan suan jin	14
机具	ji ju	153
机制	ji zhi	4301
机务	ji wu	1001
机动	ji dong	3263
机动车	ji dong che	622
机匣	ji xia	872
机厂	ji chang	275
机变	ji bian	20
机器	ji qi	6212
机器人	ji qi ren	8641
机器学习	ji qi xue xi	275
机器翻译	ji qi fan yi	40
机场	ji chang	23237
机场路	ji chang lu	112
机型	ji xing	1693
机头	ji tou	215
机子	ji zi	1202
机宜	ji yi	35
机密	ji mi	1361
机巧	ji qiao	35
机帆船	ji fan chuan	10
机师	ji shi	383
机床	ji chuang	117
机库	ji ku	305
机座	ji zuo	14
机心	ji xin	4
机房	ji fang	504
机敏	ji min	90
机智	ji zhi	7867
机杼	ji zhu	6
机构	ji gou	23545
机枪	ji qiang	1907
机柜	ji gui	75
机械	ji xie	8651
机械化	ji xie hua	621
机械厂	ji xie chang	193
机械师	ji xie shi	163
机械手	ji xie shou	22
机械运动	ji xie yun dong	1
机械键盘	ji xie jian pan	164
机油	ji you	663
机灵	ji ling	1768
机炮	ji pao	892
机率	ji lv	981
机理	ji li	274
机甲	ji jia	471
机电	ji dian	570
机票	ji piao	6952
机种	ji zhong	395
机组	ji zu	1917
机织	ji zhi	15
机缘	ji yuan	334
机群	ji qun	26
机翼	ji yi	757
机耕	ji geng	10
机能	ji neng	1097
机舱	ji cang	401
机要	ji yao	428
机警	ji jing	38
机谋	ji mou	2
机身	ji shen	1520
机车	ji che	7030
机车厂	ji che chang	150
机车车辆厂	ji che che liang chang	134
机轮	ji lun	32
机载	ji zai	121
机运	ji yun	13
机遇	ji yu	609
机长	ji chang	173
机长	ji zhang	1389
机队	ji dui	435
机顶盒	ji ding he	207
朽	xiu	119
朽坏	xiu huai	3
朽木	xiu mu	218
朽烂	xiu lan	5
杀	sha	22746
杀一儆百	sha yi jing bai	10
杀了	sha le	3460
杀人	sha ren	4005
杀人不眨眼	sha ren bu zha yan	13
杀人不见血	sha ren bu jian xie	1
杀人不见血	sha ren bu jian xue	3
杀人如麻	sha ren ru ma	4
杀人灭口	sha ren mie kou	25
杀人越货	sha ren yue huo	5
杀价	sha jia	43
杀伐	sha fa	13
杀伤	sha shang	408
杀伤力	sha shang li	497
杀头	sha tou	34
杀害	sha hai	5270
杀富济贫	sha fu ji pin	3
杀戒	sha jie	145
杀戮	sha lu	785
杀手	sha shou	2196
杀手锏	sha shou jian	15
杀技	sha ji	1825
杀掉	sha diao	813
杀掠	sha lve	24
杀机	sha ji	244
杀死	sha si	5977
杀毒	sha du	111
杀毒软件	sha du ruan jian	98
杀气	sha qi	264
杀气腾腾	sha qi teng teng	18
杀熟	sha shu	13
杀猪	sha zhu	706
杀猪刀	sha zhu dao	1074
杀生	sha sheng	453
杀菌	sha jun	308
杀虫剂	sha chong ji	281
杀身之祸	sha shen zhi huo	76
杀身成仁	sha shen cheng ren	6
杀青	sha qing	2478
杀鸡取卵	sha ji qu luan	24
杀鸡吓猴	sha ji xia hou	3
杂	za	5955
杂七杂八	za qi za ba	220
杂书	za shu	32
杂乱	za luan	208
杂乱无章	za luan wu zhang	64
杂事	za shi	170
杂交	za jiao	890
杂凑	za cou	64
杂剧	za ju	64
杂务	za wu	68
杂品	za pin	6
杂处	za chu	22
杂家	za jia	21
杂居	za ju	58
杂工	za gong	80
杂役	za yi	66
杂志	za zhi	14309
杂志社	za zhi she	465
杂念	za nian	187
杂感	za gan	2
杂技	za ji	379
杂拌儿	za ban er	17
杂文	za wen	120
杂木	za mu	52
杂毛	za mao	154
杂沓	za ta	5
杂活	za huo	32
杂烩	za hui	32
杂牌	za pai	130
杂牌军	za pai jun	12
杂物	za wu	635
杂用	za yong	7
杂症	za zheng	3
杂碎	za sui	76
杂种	za zhong	77
杂税	za shui	14
杂粮	za liang	618
杂糅	za rou	35
杂耍	za shua	143
杂肥	za fei	1
杂色	za se	63
杂草	za cao	253
杂讯	za xun	204
杂记	za ji	136
杂说	za shuo	40
杂谈	za tan	28
杂货	za huo	201
杂货店	za huo dian	1300
杂货铺	za huo pu	581
杂质	za zhi	245
杂费	za fei	27
杂陈	za chen	137
杂院儿	za yuan er	55
杂面	za mian	53
杂音	za yin	216
杂项	za xiang	83
杂食	za shi	479
权	quan	17347
权且	quan qie	9
权位	quan wei	40
权作	quan zuo	6
权利	quan li	7658
权力	quan li	6452
权势	quan shi	368
权变	quan bian	14
权奸	quan jian	12
权威	quan wei	1767
权宜	quan yi	31
权宜之计	quan yi zhi ji	31
权当	quan dang	201
权志	quan zhi	8
权志龙	quan zhi long	313
权时	quan shi	32
权术	quan shu	22
权杖	quan zhang	132
权柄	quan bing	37
权欲	quan yu	6
权益	quan yi	1759
权能	quan neng	89
权臣	quan chen	202
权衡	quan heng	459
权谋	quan mou	70
权责	quan ze	113
权贵	quan gui	475
权重	quan zhong	335
权钱交易	quan qian jiao yi	13
权门	quan men	8
权限	quan xian	1225
杄	qian	1
杆	gan	3882
杆位	gan wei	265
杆子	gan zi	517
杆秤	gan cheng	45
杆菌	gan jun	236
杈	cha	27
杈子	cha zi	1
杉	sha	146
杉	shan	2914
杉山	shan shan	262
杉木	sha mu	66
杉杉来	shan shan lai	283
杉来	shan lai	284
杉树	sha shu	5
杉树	shan shu	43
杉田	shan tian	73
杉田智和	shan tian zhi he	58
杉篙	sha gao	2
杌	wu	18
李	li	50239
李世	li shi	356
李世民	li shi min	218
李东	li dong	216
李丰	li feng	59
李乐	li le	85
李云迪	li yun di	66
李从珂	li cong ke	109
李代桃僵	li dai tao jiang	3
李仲	li zhong	404
李伟	li wei	258
李佳	li jia	423
李俊	li jun	317
李健	li jian	334
李偲	li cai	95
李傕	li jue	94
李元	li yuan	403
李兆	li zhao	183
李先念	li xian nian	200
李光	li guang	371
李光洁	li guang jie	68
李光耀	li guang yao	103
李克农	li ke nong	73
李克勤	li ke qin	202
李克用	li ke yong	243
李公	li gong	97
李军	li jun	64
李冰冰	li bing bing	51
李华	li hua	162
李卓	li zhuo	228
李南	li nan	59
李可	li ke	126
李咏	li yong	108
李品仙	li pin xian	54
李哲	li zhe	89
李唐	li tang	59
李商隐	li shang yin	57
李嗣源	li si yuan	186
李嘉	li jia	259
李嘉诚	li jia cheng	141
李四光	li si guang	104
李国	li guo	642
李大钊	li da zhao	192
李威	li wei	75
李娜	li na	123
李子	li zi	1114
李存	li cun	292
李存勖	li cun xu	115
李季	li ji	62
李宁	li ning	96
李宇春	li yu chun	445
李安	li an	235
李宗	li zong	350
李宗仁	li zong ren	378
李宗盛	li zong sheng	122
李定国	li ding guo	196
李密	li mi	147
李富春	li fu chun	99
李察	li cha	325
李寿	li shou	174
李小冉	li xiao ran	160
李小璐	li xiao lu	1105
李小龙	li xiao long	308
李尚	li shang	120
李崇	li chong	106
李崧	li song	97
李希	li xi	246
李常	li chang	115
李广	li guang	133
李庄	li zhuang	97
李延	li yan	200
李建军	li jian jun	57
李建成	li jian cheng	69
李强	li qiang	184
李彦	li yan	188
李德裕	li de yu	81
李志	li zhi	438
李思	li si	285
李慧	li hui	286
李成	li cheng	287
李成桂	li cheng gui	83
李扬	li yang	61
李承	li cheng	401
李振	li zhen	220
李敏	li min	145
李敏镐	li min hao	206
李敖	li ao	82
李文	li wen	985
李斌	li bin	79
李斯	li si	107
李斯特	li si te	315
李旦	li dan	51
李时	li shi	63
李昂	li ang	97
李昌	li chang	142
李明	li ming	517
李易	li yi	48
李易峰	li yi feng	1310
李春	li chun	275
李显	li xian	210
李晓	li xiao	292
李晟	li sheng	86
李晨	li chen	353
李景	li jing	336
李智	li zhi	207
李曼	li man	65
李林	li lin	110
李氏	li shi	864
李民	li min	101
李永	li yong	280
李沁	li qin	264
李治	li zhi	121
李泽	li ze	173
李泽言	li ze yan	373
李洪	li hong	295
李济	li ji	62
李济深	li ji shen	191
李涛	li tao	51
李渊	li yuan	201
李湘	li xiang	84
李炜	li wei	106
李炳	li bing	186
李烈钧	li lie jun	119
李煜	li yu	76
李牧	li mu	143
李特	li te	89
李玉	li yu	237
李玉刚	li yu gang	107
