# 青简领域词库：法律，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
死刑缓期二年执行	si xing huan qi er nian zhi xing	8
死刑缓期执行	si xing huan qi zhi xing	15
残疾人就业条例	can ji ren jiu ye tiao li	10
残疾人康复工作办公室	can ji ren kang fu gong zuo ban gong shi	7
残疾人教育条例	can ji ren jiao yu tiao li	8
残疾人权利国际公约	can ji ren quan li guo ji gong yue	6
残疾人福利基金会	can ji ren fu li ji jin hui	9
残疾赔偿金	can ji pei chang jin	13
殴击罪	ou ji zui	1
殴打他人	ou da ta ren	6
段和段	duan he duan	2
段爱群	duan ai qun	7
毁灭国家机关公文	hui mie guo jia ji guan gong wen	5
母女关系	mu nv guan xi	11
母婴保健	mu ying bao jian	14
母婴保健法	mu ying bao jian fa	13
母婴保健法实施办法	mu ying bao jian fa shi shi ban fa	9
母法	mu fa	12
每日结算制度	mei ri jie suan zhi du	7
毒品原植物	du pin yuan zhi wu	12
毒品犯罪研究	du pin fan zui yan jiu	6
比较民事诉讼论丛	bi jiao min shi su song lun cong	2
比较法在中国	bi jiao fa zai zhong guo	6
比较法研究	bi jiao fa yan jiu	13
毛国华	mao guo hua	5
毛地出让	mao di chu rang	9
毛泽东集	mao ze dong ji	12
毛璟文	mao jing wen	6
民主自决权	min zhu zi jue quan	4
民主视野	min zhu shi ye	4
民事习惯调查报告录	min shi xi guan diao cha bao gao lu	5
民事侵权构成要件	min shi qin quan gou cheng yao jian	6
民事保全程序研究	min shi bao quan cheng xu yan jiu	3
民事决定书	min shi jue ding shu	6
民事委托代理合同	min shi wei tuo dai li he tong	6
民事审判手册	min shi shen pan shou ce	4
民事审判技能	min shi shen pan ji neng	2
民事审判指导与参考	min shi shen pan zhi dao yu can kao	7
民事审判简易程序	min shi shen pan jian yi cheng xu	3
民事强制执行新视野	min shi qiang zhi zhi xing xin shi ye	2
民事强制执行新论	min shi qiang zhi zhi xing xin lun	3
民事强制执行法	min shi qiang zhi zhi xing fa	8
民事执行权	min shi zhi xing quan	8
民事执行程序	min shi zhi xing cheng xu	9
民事授权委托书	min shi shou quan wei tuo shu	5
民事无效行为	min shi wu xiao xing wei	3
民事案件由规定	min shi an jian you gui ding	3
民事欺诈行为	min shi qi zha xing wei	8
民事法律行为	min shi fa lv xing wei	4
民事特别法	min shi te bie fa	8
民事督促起诉	min shi du cu qi su	7
民事程序法	min shi cheng xu fa	9
民事程序法研究	min shi cheng xu fa yan jiu	4
民事程序选择权	min shi cheng xu xuan ze quan	5
民事简易程序研究	min shi jian yi cheng xu yan jiu	4
民事管辖权	min shi guan xia quan	8
民事纠纷	min shi jiu fen	13
民事纠纷法律知识手册	min shi jiu fen fa lv zhi shi shou ce	3
民事纠纷解决	min shi jiu fen jie jue	8
民事行为能力	min shi xing wei neng li	1
民事裁判	min shi cai pan	2
民事裁判方法	min shi cai pan fang fa	5
民事裁判标准规范	min shi cai pan biao zhun gui fan	2
民事裁定	min shi cai ding	14
民事证据规则应用	min shi zheng ju gui ze ying yong	2
民事诉讼制度改革研究	min shi su song zhi du gai ge yan jiu	5
民事诉讼基本结构	min shi su song ji ben jie gou	3
民事诉讼委托代理合同	min shi su song wei tuo dai li he tong	5
民事诉讼案例精析	min shi su song an li jing xi	3
民事诉讼法习题集	min shi su song fa xi ti ji	3
民事诉讼法学新编	min shi su song fa xue xin bian	5
民事诉讼目的	min shi su song mu di	8
民事诉讼程序公约	min shi su song cheng xu gong yue	6
民事诉讼程序改革报告	min shi su song cheng xu gai ge bao gao	3
民事诉讼终结	min shi su song zhong jie	4
民事调解制度	min shi tiao jie zhi du	6
民事责任承担方式	min shi ze ren cheng dan fang shi	8
民事责任构成要件	min shi ze ren gou cheng yao jian	6
民事责任竞合	min shi ze ren jing he	7
民事错诉责任	min shi cuo su ze ren	5
民办非企业单位	min ban fei qi ye dan wei	9
民商事案件	min shang shi an jian	8
民商事案件裁判方法	min shang shi an jian cai pan fang fa	4
民商合一	min shang he yi	10
民商审判简明手册	min shang shen pan jian ming shou ce	5
民商法在职研究生	min shang fa zai zhi yan jiu sheng	5
民商法辞典	min shang fa ci dian	3
民商法问题研究与适用	min shang fa wen ti yan jiu yu shi yong	4
民国名人诉讼案	min guo ming ren su song an	3
民国时期西藏法制研究	min guo shi qi xi zang fa zhi yan jiu	3
民国法学论文精萃	min guo fa xue lun wen jing cui	4
民政优抚对象	min zheng you fu dui xiang	7
民族区域自治法	min zu qu yu zi zhi fa	1
民权公约评注	min quan gong yue ping zhu	4
民法典探索与展望	min fa dian tan suo yu zhan wang	3
民法法典化研究	min fa fa dian hua yan jiu	3
民用建筑节能条例	min yong jian zhu jie neng tiao li	11
民用建筑节能管理规定	min yong jian zhu jie neng guan li gui ding	10
民用建筑隔声设计规范	min yong jian zhu ge sheng she ji gui fan	8
民用机场使用许可规定	min yong ji chang shi yong xu ke gui ding	4
民用机场管理暂行规定	min yong ji chang guan li zan xing gui ding	4
民用机场管理条例	min yong ji chang guan li tiao li	7
民用爆炸物品管理条例	min yong bao zha wu pin guan li tiao li	9
民用航空器优先权	min yong hang kong qi you xian quan	9
民用航空器融资租赁	min yong hang kong qi rong zi zu lin	6
民用航空器贸易协议	min yong hang kong qi mao yi xie yi	4
民用航空法	min yong hang kong fa	8
民用航空管理制度	min yong hang kong guan li zhi du	5
民用运力国防动员条例	min yong yun li guo fang dong yuan tiao li	7
民营企业法律实用指导	min ying qi ye fa lv shi yong zhi dao	5
民营企业法律顾问	min ying qi ye fa lv gu wen	7
民营企业经营环境	min ying qi ye jing ying huan jing	5
民行处	min xing chu	8
民行科	min xing ke	10
气候变化协议	qi hou bian hua xie yi	8
气候变化框架公约	qi hou bian hua kuang jia gong yue	16
气瓶安全监察规定	qi ping an quan jian cha gui ding	7
气象行业管理若干规定	qi xiang hang ye guan li ruo gan gui ding	3
水下文化遗产保护公约	shui xia wen hua yi chan bao hu gong yue	5
水产资源繁殖保护条例	shui chan zi yuan fan zhi bao hu tiao li	6
水利旅游项目管理办法	shui li lv you xiang mu guan li ban fa	4
水利部信访工作办法	shui li bu xin fang gong zuo ban fa	2
水利风景区管理办法	shui li feng jing qu guan li ban fa	4
水土保持工作协调小组	shui tu bao chi gong zuo xie tiao xiao zu	3
水库大坝安全管理条例	shui ku da ba an quan guan li tiao li	8
水库大坝注册登记办法	shui ku da ba zhu ce deng ji ban fa	4
水政监察工作章程	shui zheng jian cha gong zuo zhang cheng	5
水权流转	shui quan liu zhuan	6
水资源保护法	shui zi yuan bao hu fa	7
水资源勘察	shui zi yuan kan cha	7
水资源开发利用规划	shui zi yuan kai fa li yong gui hua	8
水资源所有权	shui zi yuan suo you quan	9
水路危险货物运输规则	shui lu wei xian huo wu yun shu gui ze	4
水路运输违章处罚规定	shui lu yun shu wei zhang chu fa gui ding	3
水运工程质量监督规定	shui yun gong cheng zhi liang jian du gui ding	4
水闸安全鉴定管理办法	shui zha an quan jian ding guan li ban fa	2
永久居住权	yong jiu ju zhu quan	5
永久居所	yong jiu ju suo	1
永久性抗辩权	yong jiu xing kang bian quan	4
永久性职位	yong jiu xing zhi wei	5
汇票兑付	hui piao dui fu	6
汇票签发	hui piao qian fa	8
汇票转	hui piao zhuan	9
汉德分类词语手册	han de fen lei ci yu shou ce	4
汉德经济和经济法词典	han de jing ji he jing ji fa ci dian	4
汉摩拉比法典	han mo la bi fa dian	1
汉文帝刑制改革	han wen di xing zhi gai ge	4
汉漠拉比法典	han mo la bi fa dian	6
汉英法律翻译教程	han ying fa lv fan yi jiao cheng	4
汕头市地价管理规定	shan tou shi di jia guan li gui ding	3
江苏博事达律师事务所	jiang su bo shi da lv shi shi wu suo	7
江苏君远律师事务所	jiang su jun yuan lv shi shi wu suo	8
江苏汇天元律师事务所	jiang su hui tian yuan lv shi shi wu suo	5
江苏省公路条例	jiang su sheng gong lu tiao li	5
江苏省志愿服务条例	jiang su sheng zhi yuan fu wu tiao li	6
江苏省财政监督办法	jiang su sheng cai zheng jian du ban fa	4
江苏茂通律师事务所	jiang su mao tong lv shi shi wu suo	5
江西宋城律师事务所	jiang xi song cheng lv shi shi wu suo	4
江西惟民律师事务所	jiang xi wei min lv shi shi wu suo	11
江西省土地登记办法	jiang xi sheng tu di deng ji ban fa	4
污染源监测管理办法	wu ran yuan jian ce guan li ban fa	2
污水综合排放标准	wu shui zong he pai fang biao zhun	1
汤姆森商法教程	tang mu sen shang fa jiao cheng	2
汪辜会谈共同协议	wang gu hui tan gong tong xie yi	1
汽垫船	qi dian chuan	9
汽车保险法律法规	qi che bao xian fa lv fa gui	2
汽车运输船	qi che yun shu chuan	8
沃尔芬森	wo er fen sen	3
沃尔芬登委员会	wo er fen deng wei yuan hui	3
沈家本	shen jia ben	32
沈家本年谱初编	shen jia ben nian pu chu bian	4
沈寄簃先生遗书	shen ji yi xian sheng yi shu	4
沈木珠	shen mu zhu	8
沉默方式	chen mo fang shi	7
沉默权	chen mo quan	1
沉默欺诈	chen mo qi zha	3
沐川县司法局	mu chuan xian si fa ju	3
沙利文诉纽约时报案	sha li wen su niu yue shi bao an	2
沙头角街道党工委	sha tou jiao jie dao dang gong wei	5
沙里亚法规	sha li ya fa gui	1
沙里亚法院	sha li ya fa yuan	7
没收违法所得	mo shou wei fa suo de	16
没收非法财物	mo shou fei fa cai wu	2
没有书面凭证	mei you shu mian ping zheng	6
沧州市产权交易中心	cang zhou shi chan quan jiao yi zhong xin	3
河北子辰律师事务所	he bei zi chen lv shi shi wu suo	6
河北法学	he bei fa xue	1
河北省义务植树条例	he bei sheng yi wu zhi shu tiao li	5
河北省信访条例	he bei sheng xin fang tiao li	4
河北省发展中医条例	he bei sheng fa zhan zhong yi tiao li	4
河北省土木建筑学会	he bei sheng tu mu jian zhu xue hui	4
河北省地方志工作规定	he bei sheng di fang zhi gong zuo gui ding	4
河北省奶业条例	he bei sheng nai ye tiao li	7
河北省节约能源条例	he bei sheng jie yue neng yuan tiao li	7
河北马倍战律师事务所	he bei ma bei zhan lv shi shi wu suo	5
河南千业律师事务所	he nan qian ye lv shi shi wu suo	7
河南工业大学法学院	he nan gong ye da xue fa xue yuan	4
河南昌浩律师事务所	he nan chang hao lv shi shi wu suo	4
河南省信访条例	he nan sheng xin fang tiao li	4
河南省母婴保健条例	he nan sheng mu ying bao jian tiao li	4
河南省煤炭条例	he nan sheng mei tan tiao li	4
河南陆达律师事务所	he nan lu da lv shi shi wu suo	12
河津市检察院	he jin shi jian cha yuan	7
治国方略	zhi guo fang lve	1
治安保卫委员会	zhi an bao wei wei yuan hui	1
治安处罚	zhi an chu fa	3
治安案件查处概论	zhi an an jian cha chu gai lun	2
治安管理处罚条例	zhi an guan li chu fa tiao li	1
治安管理处罚法	zhi an guan li chu fa fa	23
治安联防队员	zhi an lian fang dui yuan	11
治安行政处罚	zhi an xing zheng chu fa	9
治安行政处置权	zhi an xing zheng chu zhi quan	5
治安行政法	zhi an xing zheng fa	7
治理商业贿赂简明读本	zhi li shang ye hui lu jian ming du ben	3
治道变革与法精神转型	zhi dao bian ge yu fa jing shen zhuan xing	2
沾化县海洋与渔业局	zhan hua xian hai yang yu yu ye ju	5
沿海航标管理办法	yan hai hang biao guan li ban fa	4
沿海航运权	yan hai hang yun quan	3
沿海运输	yan hai yun shu	3
泄密事件	xie mi shi jian	16
泄密罪	xie mi zui	7
泄露内幕信息罪	xie lu nei mu xin xi zui	11
泄露国家机密	xie lu guo jia ji mi	13
泄露国家机密罪	xie lu guo jia ji mi zui	5
泉州市科技局	quan zhou shi ke ji ju	7
泊位合同	bo wei he tong	4
法与农村社会变迁	fa yu nong cun she hui bian qian	3
法与恢复性司法	fa yu hui fu xing si fa	3
法书要录	fa shu yao lu	8
法人制度法理研究	fa ren zhi du fa li yan jiu	2
法人型联营	fa ren xing lian ying	8
法人委托书	fa ren wei tuo shu	13
法人章程	fa ren zhang cheng	1
法人配售发行方式指引	fa ren pei shou fa xing fang shi zhi yin	5
法令不能改变社会	fa ling bu neng gai bian she hui	2
法价值哲学导论	fa jia zhi zhe xue dao lun	3
法兰西第五共和国宪法	fa lan xi di wu gong he guo xian fa	3
法制办	fa zhi ban	21
法制日报社	fa zhi ri bao she	5
法制浙江	fa zhi zhe jiang	6
法制科	fa zhi ke	5
法医人类学经典	fa yi ren lei xue jing dian	3
法医学辞典	fa yi xue ci dian	2
法医学鉴定人	fa yi xue jian ding ren	6
法医检验	fa yi jian yan	6
法医鉴定学	fa yi jian ding xue	5
法国发明专利法	fa guo fa ming zhuan li fa	2
法国现代合同法	fa guo xian dai he tong fa	6
法大民商经济法评论	fa da min shang jing ji fa ping lun	3
法学专业英语教程	fa xue zhuan ye ying yu jiao cheng	6
法学前沿名家谈	fa xue qian yan ming jia tan	2
法学基础课程导读	fa xue ji chu ke cheng dao du	4
法学学位论文写作方法	fa xue xue wei lun wen xie zuo fang fa	3
法学教学参考书	fa xue jiao xue can kao shu	6
法学方法论与德沃金	fa xue fang fa lun yu de wo jin	4
法学方法论导论	fa xue fang fa lun dao lun	4
法学研究与方法论	fa xue yan jiu yu fang fa lun	3
法学经纬	fa xue jing wei	2
法学课程	fa xue ke cheng	7
法官职业化	fa guan zhi ye hua	11
法官职业道德	fa guan zhi ye dao de	11
法官职业道德基本准则	fa guan zhi ye dao de ji ben zhun ze	9
法官行为与职业伦理	fa guan xing wei yu zhi ye lun li	3
法定分保	fa ding fen bao	10
法定垄断	fa ding long duan	8
法定孳息	fa ding zi xi	1
法定强制保险	fa ding qiang zhi bao xian	9
法定清偿物	fa ding qing chang wu	3
法定财产重估增值	fa ding cai chan chong gu zeng zhi	7
法庭语言技巧	fa ting yu yan ji qiao	5
法律与习俗	fa lv yu xi su	6
法律与现代社会	fa lv yu xian dai she hui	5
法律与社会规范	fa lv yu she hui gui fan	6
法律专业逻辑学教程	fa lv zhuan ye luo ji xue jiao cheng	2
法律事件	fa lv shi jian	5
法律价值	fa lv jia zhi	6
法律信息学	fa lv xin xi xue	3
法律儒家化	fa lv ru jia hua	7
法律写作	fa lv xie zuo	3
法律判决认定	fa lv pan jue ren ding	2
法律及其配套规定丛书	fa lv ji qi pei tao gui ding cong shu	6
法律和市场经济	fa lv he shi chang jing ji	6
法律基础新编	fa lv ji chu xin bian	3
法律实用全书	fa lv shi yong quan shu	3
法律小全书	fa lv xiao quan shu	6
法律帝国	fa lv di guo	9
法律思维	fa lv si wei	12
法律思维研究	fa lv si wei yan jiu	3
法律推理与政治冲突	fa lv tui li yu zheng zhi chong tu	5
法律政策研究室	fa lv zheng ce yan jiu shi	8
法律效力论	fa lv xiao li lun	4
法律教育网校	fa lv jiao yu wang xiao	3
法律文书写作	fa lv wen shu xie zuo	12
法律文书写作思维	fa lv wen shu xie zuo si wei	4
法律文书范例评析	fa lv wen shu fan li ping xi	2
法律文化	fa lv wen hua	24
法律文化史研究	fa lv wen hua shi yan jiu	5
法律文化研究	fa lv wen hua yan jiu	1
法律文本翻译	fa lv wen ben fan yi	5
法律文盲	fa lv wen mang	6
法律是什么	fa lv shi shen me	2
法律智慧的火花	fa lv zhi hui de huo hua	2
法律智慧警句集	fa lv zhi hui jing ju ji	4
法律法规适用范围	fa lv fa gui shi yong fan wei	3
法律现代化	fa lv xian dai hua	1
法律监督	fa lv jian du	7
法律监督机关	fa lv jian du ji guan	12
法律监督论纲	fa lv jian du lun gang	3
法律移植	fa lv yi zhi	11
法律移植与法律文化	fa lv yi zhi yu fa lv wen hua	6
法律程序文件	fa lv cheng xu wen jian	7
法律维权启示录	fa lv wei quan qi shi lu	4
法律网站	fa lv wang zhan	7
法律职业	fa lv zhi ye	32
法律职业共同体	fa lv zhi ye gong tong ti	10
法律职业资格考试	fa lv zhi ye zi ge kao shi	18
法律英语	fa lv ying yu	2
法律英语写作	fa lv ying yu xie zuo	6
法律英语教程	fa lv ying yu jiao cheng	5
法律英语词汇速记练习	fa lv ying yu ci hui su ji lian xi	2
法律行为无效	fa lv xing wei wu xiao	2
法律规范行为	fa lv gui fan xing wei	8
法律议案	fa lv yi an	10
法律语言规范化研究	fa lv yu yan gui fan hua yan jiu	4
法律调整过程	fa lv tiao zheng guo cheng	6
法律谈判之道	fa lv tan pan zhi dao	4
法律起源	fa lv qi yuan	8
法律进家家家安	fa lv jin jia jia jia an	5
法律防火墙	fa lv fang huo qiang	6
法律限制和约束	fa lv xian zhi he yue shu	3
法律面前人人平等	fa lv mian qian ren ren ping deng	11
法律面前人人平等原则	fa lv mian qian ren ren ping deng yuan ze	9
法民初字第	fa min chu zi di	10
法治与国际和谐社会	fa zhi yu guo ji he xie she hui	8
法治中国	fa zhi zhong guo	9
法治二十讲	fa zhi er shi jiang	2
法治及其本土资源	fa zhi ji qi ben tu zi yuan	9
法治周末	fa zhi zhou mo	8
法治国家	fa zhi guo jia	35
法治国家与行政法治	fa zhi guo jia yu xing zheng fa zhi	2
法治国家论	fa zhi guo jia lun	4
法治建设与法学	fa zhi jian she yu fa xue	7
法治快报	fa zhi kuai bao	8
法治百家谈	fa zhi bai jia tan	3
法治维新	fa zhi wei xin	2
法治讲演录	fa zhi jiang yan lu	4
法治论丛	fa zhi lun cong	6
法理学论丛	fa li xue lun cong	6
法社会学在中国	fa she hui xue zai zhong guo	5
法苑撷英	fa yuan xie ying	4
